Latitude,Longitude,Comment,Temp. [degC],Depth [m]
1134.73264,12229.35746,1,30.913,1.181
1134.73264,12229.35746,1,30.914,1.186
1134.73264,12229.35746,1,30.914,1.19
1134.73264,12229.35746,1,30.914,1.195
1134.73264,12229.35746,1,30.912,1.194
1134.73264,12229.35746,1,30.912,1.193
1134.73264,12229.35746,1,30.911,1.192
1134.73264,12229.35746,1,30.911,1.189
1134.73264,12229.35746,1,30.909,1.19
1134.73264,12229.35746,1,30.909,1.187
1134.73264,12229.35746,1,30.909,1.186
1134.73264,12229.35746,1,30.909,1.184
1134.73264,12229.35746,1,30.909,1.184
1134.73264,12229.35746,1,30.91,1.184
1134.73264,12229.35746,1,30.911,1.184
1134.73264,12229.35746,1,30.913,1.183
1134.73264,12229.35746,1,30.914,1.183
1134.73264,12229.35746,1,30.914,1.181
1134.73264,12229.35746,1,30.915,1.181
1134.73264,12229.35746,1,30.914,1.18
1134.73264,12229.35746,1,30.914,1.177
1134.73264,12229.35746,1,30.914,1.177
1134.73264,12229.35746,1,30.914,1.175
1134.73264,12229.35746,1,30.914,1.175
1134.73264,12229.35746,1,30.913,1.176
1134.73264,12229.35746,1,30.913,1.176
1134.73264,12229.35746,1,30.913,1.179
1134.73264,12229.35746,1,30.913,1.18
1134.73264,12229.35746,1,30.913,1.18
1134.73264,12229.35746,1,30.912,1.181
1134.73264,12229.35746,1,30.912,1.183
1134.73264,12229.35746,1,30.912,1.185
1134.73264,12229.35746,1,30.911,1.186
1134.73264,12229.35746,1,30.91,1.188
1134.73264,12229.35746,1,30.909,1.19
1134.73264,12229.35746,1,30.909,1.19
1134.73264,12229.35746,1,30.91,1.191
1134.73264,12229.35746,1,30.912,1.19
1134.73264,12229.35746,1,30.913,1.191
1134.73264,12229.35746,1,30.911,1.19
1134.73264,12229.35746,1,30.912,1.187
1134.73264,12229.35746,1,30.915,1.188
1134.73264,12229.35746,1,30.916,1.187
1134.73264,12229.35746,1,30.917,1.186
1134.73264,12229.35746,1,30.917,1.185
1134.73264,12229.35746,1,30.916,1.185
1134.73264,12229.35746,1,30.916,1.185
1134.73264,12229.35746,1,30.916,1.185
1134.73264,12229.35746,1,30.917,1.184
1134.73264,12229.35746,1,30.918,1.184
1134.73264,12229.35746,1,30.917,1.184
1134.73264,12229.35746,1,30.917,1.183
1134.73264,12229.35746,1,30.918,1.184
1134.73264,12229.35746,1,30.918,1.184
1134.73264,12229.35746,1,30.918,1.184
1134.73264,12229.35746,1,30.917,1.185
1134.73264,12229.35746,1,30.917,1.184
1134.73264,12229.35746,1,30.918,1.184
1134.73264,12229.35746,1,30.918,1.184
1134.73264,12229.35746,1,30.917,1.183
1134.73264,12229.35746,1,30.916,1.183
1134.73264,12229.35746,1,30.914,1.182
1134.73264,12229.35746,1,30.914,1.182
