Latitude,Longitude,Comment,Chl-a [µg/l],Depth [m]
1134.73264,12229.35746,1,6.963,1.18
1134.73264,12229.35746,1,7.006,1.181
1134.73264,12229.35746,1,7.355,1.183
1134.73264,12229.35746,1,7.199,1.185
1134.73264,12229.35746,1,6.764,1.186
1134.73264,12229.35746,1,6.472,1.188
1134.73264,12229.35746,1,6.735,1.19
1134.73264,12229.35746,1,7.12,1.19
1134.73264,12229.35746,1,7.27,1.191
1134.73264,12229.35746,1,7.213,1.19
1134.73264,12229.35746,1,6.878,1.191
1134.73264,12229.35746,1,6.999,1.19
1134.73264,12229.35746,1,7.134,1.187
1134.73264,12229.35746,1,6.707,1.188
1134.73264,12229.35746,1,6.315,1.187
1134.73264,12229.35746,1,6.279,1.186
1134.73264,12229.35746,1,6.144,1.185
1134.73264,12229.35746,1,6.201,1.185
1134.73264,12229.35746,1,6.636,1.185
1134.73264,12229.35746,1,6.999,1.185
1134.73264,12229.35746,1,7.134,1.184
1134.73264,12229.35746,1,6.764,1.184
1134.73264,12229.35746,1,6.5,1.184
1134.73264,12229.35746,1,6.45,1.183
1134.73264,12229.35746,1,6.301,1.184
1134.73264,12229.35746,1,6.187,1.184
1134.73264,12229.35746,1,6.65,1.184
1134.73264,12229.35746,1,7.22,1.185
1134.73264,12229.35746,1,7.755,1.184
1134.73264,12229.35746,1,7.434,1.184
1134.73264,12229.35746,1,7.598,1.184
1134.73264,12229.35746,1,8.253,1.183
1134.73264,12229.35746,1,8.261,1.183
1134.73264,12229.35746,1,8.061,1.182
